url,title,company,location,description
https://ph.linkedin.com/jobs/view/web-engineer-at-sm-supermalls-4312257288?position=41&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=uazGk5%2FCx%2B6WjhrSoLhS0w%3D%3D,Web Engineer,SM Supermalls,Pasay,
https://ph.linkedin.com/jobs/view/frontend-developer-at-technosphere-inc-4315882915?position=42&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=aXYoCvqkyhCGsXiZ6OKGYg%3D%3D,Frontend Developer,"TechnoSphere, Inc.",Philippines,"Role: Frontend Developer (React)
Experience: 8+ years
Location: Remote
100% Work-from-Home | Independent Contractor"
https://ph.linkedin.com/jobs/view/software-developer-at-optibpo-4104062752?position=43&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=T%2BHG1K2z8mzrV%2FZjYypHpg%3D%3D,Software Developer,optiBPO,Clark Freeport and Special Economic Zone,"Job Category: IT Development

Job Location: Clark, Pampanga

Responsible to develop, design, install, test and maintain the company’s software systems. The programs you create are likely to help the company be more efficient and provide a better service to our customers











More Jobs Available"
https://ph.linkedin.com/jobs/view/fullstack-developer-at-adaca-4315289063?position=44&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=7zQVstSrH7wvUEt2j0XSJg%3D%3D,Fullstack Developer,Adaca,Taguig,"Things To Know Before Applying

you must have your own work equipment

you are able to work remotely

you can work full-time for this role

experience working with clients/companies outside PH is an advantage

Position Overview

We are seeking a highly skilled Full Stack Developer with strong expertise in Python (Django framework) for backend development and Next.js / React.js/ React Native for frontend development. The ideal candidate should be able to build scalable, efficient, and user-friendly applications, with a strong grasp of modern web technologies. Excellent English communication skills are a must, as the role involves close collaboration with cross-functional teams and clients. Prior experience in booking system projects will be considered a strong advantage.

Key Responsibilities

Design, develop, and maintain scalable backend systems using Python and Django.

Build and optimize frontend applications using Next.js and React.js.

Collaborate with UI/UX designers to deliver high-quality user experiences.

Integrate APIs and third-party services for seamless functionality.

Write clean, maintainable, and testable code following best practices.

Troubleshoot, debug, and upgrade existing systems as needed.

Participate in code reviews and contribute to continuous improvement.

Communicate effectively with internal teams and clients to understand requirements and deliver solutions.



Proven work experience as a Full Stack Developer.

Strong knowledge of Python and the Django framework.

Proficiency in Next.js and React.js for frontend development.

Understanding of relational databases (e.g., PostgreSQL, MySQL) and ORM concepts.

Experience with REST APIs and/or GraphQL.

Solid understanding of version control (Git).

Strong problem-solving skills and attention to detail.

Excellent verbal and written English communication skills.

Ability to work independently as well as in a team environment.



Experience working on booking system projects (appointment scheduling, ticketing, reservations, etc.).

Knowledge of deployment on AWS, Azure, or other cloud platforms.

Familiarity with CI/CD pipelines and containerization (Docker, Kubernetes)."
https://ph.linkedin.com/jobs/view/web-developer-at-aclan-group-of-companies-4303940947?position=45&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=vqiUrt%2ByvGrSxFjMx9hEow%3D%3D,Web Developer,Aclan Group of Companies,Cavite,
https://ph.linkedin.com/jobs/view/frontend-engineer-react-at-tempo-yc-s23-4250268302?position=46&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=vtMFrugGmdIQPi97wFIokA%3D%3D,Frontend Engineer (React),Tempo (YC S23),Philippines,"Job Overview

As a Front-End Engineer at Tempo, you will play a pivotal role. Your focus will be on developing intuitive, high-performance web applications within our AI-powered visual IDE. You'll collaborate with a cross-functional team, contributing your technical expertise to create seamless experiences for designers and developers."
https://ph.linkedin.com/jobs/view/analyst-programmer-at-rcbc-4311869545?position=47&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=uDVUocSQ%2F3ojktwiIyPPvA%3D%3D,Analyst Programmer,RCBC,Taguig,"Job Summary

This position is responsible for the design, development, maintenance and enhancement of application systems and their related system documentation manuals

How will you contribute?



What will make you successful?"
https://ph.linkedin.com/jobs/view/front-end-software-engineer-at-manulife-4258626321?position=48&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=Rhh5LRwYiC%2F483NJ1mr9%2Fg%3D%3D,Front End Software Engineer,Manulife,Makati,"We are seeking a talented and experienced Front End Software Engineer with expertise in Angular to join our dynamic engineering team. The ideal candidate will be responsible for designing, developing, and maintaining the front end of our web applications. You will work closely with cross-functional teams to deliver high-quality, scalable, and user-friendly interfaces. ?















Manulife Financial Corporation is a leading international financial services provider, helping people make their decisions easier and lives better. To learn more about us, visit https://www.manulife.com/en/about/our-story.html.



At Manulife/John Hancock, we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour, ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.

It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process. All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies. To request a reasonable accommodation in the application process, contact recruitment@manulife.com.



Hybrid"
https://ph.linkedin.com/jobs/view/full-stack-developer-at-remoteva-4308936490?position=49&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=rVLMvJ%2B2LbR8l%2FBdPno8oQ%3D%3D,Full Stack Developer,RemoteVA,Philippines,"Job Description

We are seeking a talented and experienced Full Stack Developer to join our dynamic team. The ideal candidate will possess strong skills in front-end and back-end development, with expertise in , , and . This role involves collaborating closely with cross-functional teams to design, develop, and maintain web applications that meet business needs and deliver an exceptional user experience."
https://ph.linkedin.com/jobs/view/full-stack-developer-at-remoteva-4308944248?position=50&pageNum=0&refId=gvtCKDaqWcWzPkw0jwOrRQ%3D%3D&trackingId=Mg%2BzQ%2B5odKPao7XPDn0A4w%3D%3D,Full Stack Developer,RemoteVA,Philippines,"Job Description

We are seeking a talented and experienced Full Stack Developer to join our dynamic team. The ideal candidate will possess strong skills in front-end and back-end development, with expertise in , , and . This role involves collaborating closely with cross-functional teams to design, develop, and maintain web applications that meet business needs and deliver an exceptional user experience."
