url,title,company,location,description
https://ph.linkedin.com/jobs/view/data-scientist-at-maxicare-healthcare-corporation-4312978196?position=21&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=TsiUmuK29G32VkZKIm5AgQ%3D%3D,Data Scientist,Maxicare Healthcare Corporation,Makati,
https://ph.linkedin.com/jobs/view/data-scientist-country-and-marketing-analytics-at-grab-4308574280?position=22&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=j40mckWbyNagMtkf8ctNwQ%3D%3D,Data Scientist (Country and Marketing Analytics),Grab,Pasig,"Company Description

About Grab and Our Workplace

Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.





The Regional Data Science team is a dynamic and diverse group of problem-solvers who partner with different business verticals and markets across Grab. By leveraging data-driven insights, advanced analytics, and cutting-edge AI experimentation, the team helps unlock smarter decisions and innovative solutions that drive sustainable impact for our customers, driver-partners, and merchants. Rooted in collaboration and growth, the team continuously explores new ways to harness technology to power Grab's mission of driving Southeast Asia forward.



The team works with multiple teams in Grab - Business, Operations, Marketing but also Engineering, Product and other Data teams, to understand data requirements, identify metrics, and provide data-driven solutions that are tailored and to always-evolving innovation in our markets.















We care about your well-being at Grab, here are some of the global benefits we offer:





We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique."
https://ph.linkedin.com/jobs/view/data-ai-engineer-at-sandpiper-productions-4310883472?position=23&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=9%2Bvbr3frIqIMOHU51HMQPg%3D%3D,Data/AI Engineer,Sandpiper Productions,Philippines,"Summary:

Sandpiper Brands is seeking a part-time Data/AI Engineer who will thrive in a collaborative role, developing data pipelines, dashboards, and AI-driven automations. This role is technical and hands-on, with potential for growth. The position requires working during EST time zone.











Sandpiper Productions is a leading brand ambassador and event marketing company with operations nationwide. We handle complex data operations and are hyper-focused on efficiency and automation, leveraging AI wherever possible to ensure our clients receive the most accurate, useful and timely data possible.







We offer competitive part-time compensation based on experience and hours, investing in talented engineers and providing market-rate pay.

Ready to shape the future of data-driven marketing operations? Apply today!"
https://ph.linkedin.com/jobs/view/data-scientist-at-lifebank-microfinance-foundation-inc-lbf-4307025891?position=24&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=KKXsmiVJIgrsgrR4tcYoCg%3D%3D,Data Scientist,"LifeBank Microfinance Foundation, Inc. (LBF)",Iloilo,"LifeBank Microfinance Foundation, Inc. (LBF)

we excel, we care, we share

LifeBank Microfinance Foundation, Inc. is a non-stock and non-profit organization engaged in micro-financing initiatives that advance comprehensive and sustainable development in rural and urban areas through integrated social services. We are a major catalyst in breaking the chains of poverty in the Philippines.

LBF is backed by its 2 pillar programs: The Ikabuhi Microfinance Program (IMP) for financial services and the Sustainable Development Program (SDP) for social services.

We are looking for the at



1. Collaborate with domain experts and stakeholders to understand business objectives and translate them into data science projects.






1. Bachelor's degree in a quantitative discipline (i.e., business analytics, statistics, mathematics) or with relevant training in data analytics.

2. Proficiency in the use of analytic tools such as R, Python, and Excel.

3. Familiarity with working with Relational and Non-Relational Database.

4. Experience in data cleaning and preprocessing with keen attention to details to spot anomalies or errors in data and ensure accuracy in reports.

5. Strong statistical analysis skills, including hypothesis testing, regression analysis, and other statistical techniques.

6. Strong problem-solving skills to identify issues and find data-driven solutions.

7. Ability to create compelling and insightful data visualizations and data stories to communicate findings effectively.

8. Strong communication and collaboration skills while working in a remote team environment.

9. Strong commitment to ethical data collection, usage, and sharing practices, particularly in handling sensitive financial data of clients.

10. Willingness to stay updated on emerging data analysis tools, technologies, and best practices, especially those relevant to the microfinance sector.

11. Willing to work remotely.



Click apply to this position/job or apply to our career page by clicking this link LifeBank Career Page https://www.careers-page.com/lifebank or send us your application via email for faster processing.

Requirements: Resume and Application Letter addressed to HDBP Head Ms. Jeselyn M. Mendote

Contact Us!

You may also contact us at 09190660750 and email us at hdtalentacqsec@lbfinc.org from Mon-Fri 8 AM-5 PM."
https://ph.linkedin.com/jobs/view/associate-software-engineer-ii-python-ai-ml-at-optum-4314241501?position=25&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=Uxq8RssE%2F%2BtzQd04K2727A%3D%3D,Associate Software Engineer II (Python & AI/ML),Optum,"National Capital Region, Philippines","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start"
https://ph.linkedin.com/jobs/view/senior-ai-data-engineer-at-bolsterup-4306474795?position=26&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=KnnvhQdhI1SsxCVUmKIGnw%3D%3D,Senior AI & Data Engineer,Bolsterup,Philippines,
https://ph.linkedin.com/jobs/view/senior-machine-learning-engineer-at-calltek-4283078895?position=27&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=Y6tl0VrPhCdQZ4EbkEBTig%3D%3D,Senior Machine Learning Engineer,CallTek,Philippines,"We are seeking a highly skilled Machine Learning Engineer to develop, deploy, and optimize machine learning models for large-scale data-driven applications. The ideal candidate will possess deep knowledge of mathematics, especially linear algebra, and have proven experience in applying these principles to solve complex computational challenges.





s"
https://ph.linkedin.com/jobs/view/ai-ml-engineer-at-emma-of-torre-ai-4318177391?position=28&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=0o%2BPpNYSV%2FWr%2B1U8tsHyAw%3D%3D,AI / ML Engineer,Emma of Torre.ai,Philippines,I’m helping Digidzign find a top candidate to join their team full-time for the role of AI / ML Engineer.
https://ph.linkedin.com/jobs/view/data-scientist-at-innodata-inc-4307540774?position=29&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=52rl31vrFt3xqSPxvG%2FNVA%3D%3D,Data Scientist,Innodata Inc.,Philippines,
https://ph.linkedin.com/jobs/view/investor-relations-and-corporate-planning-data-scientist-at-bdo-unibank-4309477437?position=30&pageNum=0&refId=q%2Fj%2BMm3cioSXv%2FpSg6ZbQg%3D%3D&trackingId=eMdPlPkU%2FRhk5wgM94iamg%3D%3D,Investor Relations and Corporate Planning- Data Scientist,BDO Unibank,Metro Manila,
