url,title,company,location,description
https://ph.linkedin.com/jobs/view/engineer-ai-ml-full-stack-developer-lb-09162025-ftefsd-at-rippedboxstation-4301909394?position=21&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=XMUs%2FnimXRga7XIjh4DTXg%3D%3D,Engineer / AI-ML Full Stack Developer (LB - 09162025- FTEFSD),RippedBoxStation,Manila,"Position: Engineer / AI-ML Full Stack Developer

Number of hours: 40 hours/week

Eastern Timezone



We are seeking a highly skilled to design, build, and deploy intelligent, data-driven solutions that optimize business processes and decision-making. This role combines expertise in with , making it ideal for someone who thrives at the intersection of cutting-edge technology and practical business applications."
https://ph.linkedin.com/jobs/view/investor-relations-and-corporate-planning-data-scientist-at-bdo-unibank-4309477437?position=22&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=PE2kXuJR4Zj%2Fkf9LEkTDkw%3D%3D,Investor Relations and Corporate Planning- Data Scientist,BDO Unibank,Metro Manila,
https://ph.linkedin.com/jobs/view/data-scientist-at-teksynap-4301597837?position=23&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=f3lfy8l61tPhMdLQvCo%2BHQ%3D%3D,Data Scientist,TekSynap,"National Capital Region, Philippines","Responsibilities

Responsibilities & Qualifications

The Data Scientist will focus on designing, curating, and evaluating high-quality datasets and metrics that drive model performance, fairness, and reliability in secure, agentic AI systems. Core responsibilities include:













We are seeking a to support National Geospatial-Intelligence Agency (NGA) Artificial Intelligence (AI) efforts. This will play an important role helping to create technical solutions for multiple AI challenges.

TekSynap is a fast-growing high-tech company that understands both the pace of technology today and the need to have a comprehensive well planned information management environment. “Technology moving at the speed of thought” embodies these principles – the need to nimbly utilize the best that information technology offers to meet the business needs of our Federal Government customers.

We offer our full-time employees a competitive benefits package to include health, dental, vision, 401K, life insurance, short-term and long-term disability plans, vacation time and holidays.

Visit us at www.TekSynap.com .

Apply now to explore jobs with us!

The safety and health of our employees is of the utmost importance. Employees are required to comply with any contractually mandated Federal COVID-19 requirements.

By applying to a role at TekSynap you are providing consent to receive text messages regarding your interview and employment status. If at any time you would like to opt out of text messaging, respond ""STOP."" As part of the application process, you agree that TekSynap Corporation may retain and use your name, e-mail, and contact information for purposes related to employment consideration.





The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of the job. Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions.





The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to use hands to handle, feel, touch; reach with hands and arms; talk and hear. The employee is regularly required to stand, walk, sit; climb or balance; and stoop, kneel, crouch, or crawl. The employee is frequently required to lift up to 25 pounds; and up to 50 pounds. The vision requirements include close vision, distance vision, peripheral vision, depth perception, and ability to adjust focus.



U.S Citizenship

Clearance requirement: eligibility to obtain TS/SCI



Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

TekSynap is a drug-free workplace. We reserve the right to conduct drug testing in accordance with federal, state, and local laws. All employees and candidates may be subject to drug screening if deemed necessary to ensure a safe and compliant working environment.



In order to provide equal employment and advancement opportunities to all individuals, employment decisions will be based on merit, qualifications, and abilities. TekSynap does not discriminate against any person because of race, color, creed, religion, sex, national origin, disability, age, genetic information or any other characteristic protected by law (referred to as “protected status”). This nondiscrimination policy extends to all terms, conditions, and privileges of employment as well as the use of all company facilities, participation in all company-sponsored activities, and all employment actions such as promotions, compensation, benefits, and termination of employment.

TekSynap is committed to ensuring that our online application process provides an equal employment opportunity to all job seekers, including individuals with disabilities. If you believe you need a reasonable accommodation in order to search for a job opening or to submit an application, please contact hr@teksynap.com for assistance."
https://ph.linkedin.com/jobs/view/ai-ml-engineer-at-emma-of-torre-ai-4318177391?position=24&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=%2FdYRZcnvcAAD54tvLpCMww%3D%3D,AI / ML Engineer,Emma of Torre.ai,Philippines,I’m helping Digidzign find a top candidate to join their team full-time for the role of AI / ML Engineer.
https://ph.linkedin.com/jobs/view/join-our-amazing-tech-team-get-26k-salary-%2B-35k-incentives-monthly%21bridgetowne-at-tap-growth-ai-4317092425?position=25&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=4sovfmsZx53A1WVTry2oJA%3D%3D,Join our Amazing Tech Team | Get 26K salary + 35K incentives monthly!Bridgetowne,Tap Growth ai,Quezon City,"🌟 Join our Amazing Tech Team! 🌟

We are looking for enthusiastic and driven individuals to be part of our innovative tech team in Quezon City. As a member of our team, you will have the opportunity to work in a dynamic environment while earning a competitive salary of 26K plus monthly incentives up to 35K!

Quezon City, Philippines

Work From Office

Tech Team Member



🎯 Collaborate with cross-functional teams to design and implement tech solutions

📊 Analyze system performance and troubleshoot issues proactively

🤝 Participate in daily stand-ups and contribute ideas for improvements

🛠️ Assist in developing user-friendly software applications

🚀 Stay updated with emerging technologies and industry trends

👥 Mentor junior team members and share knowledge within the team



✅ Strong problem-solving skills and attention to detail

✅ Experience with programming languages (e.g., Python, Java)

✅ Excellent communication and teamwork abilities

✅ Passion for technology and willingness to learn new skills

✅ Relevant degree or experience in IT/Computer Science field

Ready to take your career to the next level? 🚀 Apply now and let’s innovate together!"
https://ph.linkedin.com/jobs/view/python-developer-can-start-immediately-at-innodata-inc-4304621277?position=26&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=C6UG6DCOXhOP4x%2BYAN6muQ%3D%3D,Python Developer (CAN START IMMEDIATELY),Innodata Inc.,Philippines,
https://ph.linkedin.com/jobs/view/software-engineer-python-ai-ml-at-optum-4314245211?position=27&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=Sf0PzZlvfLE%2FcQC50Ql73g%3D%3D,Software Engineer (Python & AI/ML),Optum,"National Capital Region, Philippines","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start"
https://ph.linkedin.com/jobs/view/data-scientist-at-cloud-bridge-4289578199?position=28&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=uNB1M%2BkQnQVh5sHg4zEnGw%3D%3D,Data Scientist,Cloud Bridge,Taguig,"Join a UK-based tech-driven company at the forefront of financial data innovation. We're looking for a skilled Data Scientist in the Philippines.

As part of the Data Science team, you’ll build and enhance data-driven Python applications that unlock insights from vast and complex financial datasets. Working alongside data engineers, product managers, and commercial teams, your work will help shape the future of analytics and product offerings.

Role Responsibilities









Desired"
https://ph.linkedin.com/jobs/view/data-scientist-at-axos-business-center-4291523339?position=29&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=Z9LheOSyWJ6joiPXE7TBbQ%3D%3D,Data Scientist,Axos Business Center,Manila,"Axos Business Center, Corp

About This Job

As a Data Scientist, you will collaborate with cross-functional business units to identify Data Product solutions and monetization opportunities through the adoption of Artificial Intelligence, Data Science, Machine Learning, and Deep Learning, ensuring innovations drive measurable revenue growth and cost optimization.











Born digital-first, Axos delivers financial tools and services that allow individuals, small businesses, and companies to access and manage their money how, when, and where they want. We’re a diverse team of dynamic, insightful, and independent innovators who are excited to provide technology-driven solutions that offer unbeatable value to our customers.

Axos Financial is our holding company and is publicly traded on the New York Stock Exchange under the symbol ""AX"" (NYSE: AX).

Learn More about working at Axos Business Center



All offers are contingent upon the candidate successfully passing a credit check, criminal background check, and pre-employment medical and drug screening.



Axos is an Equal Opportunity employer. We are committed to providing equal employment opportunities to all employees and applicants without regard to race, religious creed, color, sex (including pregnancy, breast feeding and related medical conditions), gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship status, military and veteran status, marital status, age, protected medical condition, genetic information, physical disability, mental disability, or any other protected status in accordance with all applicable federal, state, and local laws.



While performing the duties of this position, the employee is required to sit for extended periods of time. Manual dexterity and coordination are required while operating standard office equipment such as computer keyboard and mouse, calculator, telephone, copiers, etc.

The work environment characteristics described here are representative of those an employee may encounter while performing the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position."
https://ph.linkedin.com/jobs/view/senior-data-scientist-data-ventures-and-insights-at-unionbank-of-the-philippines-4312601091?position=30&pageNum=0&refId=TTt60Vw2D91LnO5M3VAXGg%3D%3D&trackingId=2r6FiIHjlXN8qAuySGJhXA%3D%3D,Senior Data Scientist - Data Ventures and Insights,UnionBank of the Philippines,Pasig,"Job Description
Partner with stakeholders in defining the business problems, identifying challenges, discovering opportunities, developing and implementing recommendations from data driven solutions and insights."
